Jahr,ICD-10 Kode,Unnamed: 2,N,DAD,S.A,Min,Max,5,10,25,50,75,90,95
2020.0,bit0,"Singleton, hospital birth",53529.0,3.0192979506,1.1018512128,0.0,25.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,S060,concussion,4504.0,1.1629662522,1.1841711576,0.0,73.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
2020.0,P051,Newborns too small for gestational age,4062.0,3.223042836,2.1485077365,0.0,85.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0
2020.0,P228,Other respiratory distress in the newborn,3421.0,3.7869044139,5.3878152902,0.0,128.0,0.0,1.0,2.0,3.0,4.0,5.0,7.0
2020.0,p221,Transient tachypnea in the newborn,2975.0,7.1791596639,9.7455783414,0.0,221.0,1.0,2.0,3.0,4.0,7.0,18.0,26.0
2020.0,J209,"Acute bronchitis, unspecified",1911.0,2.0162218734,2.0278811992,0.0,45.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0
2020.0,about,"Newborn jaundice, unspecified",1894.0,3.7080253432,1.803550237,0.0,17.0,1.0,1.0,3.0,4.0,5.0,6.0,6.0
2020.0,jakha,Hypertrophy of the palatine tonsils with hypertrophy of the pharyngeal tonsils,1520.0,2.0605263158,1.1674856591,1.0,16.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0
2020.0,B073,Other born before term,1444.0,6.5526315789,7.8821447036,0.0,72.0,2.0,2.0,3.0,4.0,6.0,15.0,23.0
2020.0,B0712,Newborn: Birth weight 1500 to less than 2500 grams,1253.0,6.6360734238,6.2749851699,0.0,45.0,1.0,2.0,3.0,4.0,7.0,16.0,21.0
2020.0,J210,Acute bronchiolitis due to respiratory syncytial viruses [RS viruses],1239.0,4.2292171106,3.3653300218,0.0,40.0,1.0,1.0,2.0,3.0,6.0,8.0,10.0
2020.0,P050,Newborns too light for their gestational age,1237.0,3.4478577203,2.2439935691,0.0,41.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0
2020.0,shriek,Diabetes mellitus in der Familienanamnese,1066.0,3.0412757974,1.1813034358,0.0,14.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,P220,Newborn respiratory distress syndrome,1041.0,30.189241114,32.151859013,0.0,275.0,0.0,1.0,6.0,19.0,45.0,77.0,96.0
2020.0,p081,Other neonates overweight for gestational age,1020.0,3.1098039216,1.0985323248,0.0,9.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,Z5188,Other specified medical treatment,937.0,3.2251867663,1.1918014055,1.0,14.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0
2020.0,C069,"Acute upper respiratory tract infection, unspecified",903.0,1.992248062,1.7859223261,0.0,30.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0
