Jahr,ICD-10 Kode,Unnamed: 2,N,DAD,S.A,Min,Max,5,10,25,50,75,90,95
2020.0,O680,Complications of labor and delivery from abnormal fetal heart rate,7952.0,3.9752263581,1.6717905405,0.0,39.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0
2020.0,h00,Perineal tear of the first degree during childbirth,7571.0,2.9870558711,1.1475510353,0.0,15.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,O701,Second degree perineal tear during childbirth,7288.0,3.0891877058,1.1163928164,0.0,10.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0
2020.0,and obey1,Protracted ejection period (at birth),6091.0,3.7110490888,1.3836629712,0.0,21.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0
2020.0,42,Care of the mother with a uterine scar from previous surgical intervention,5382.0,3.7303976217,1.3005657532,0.0,30.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0
2020.0,O80,Spontaneous birth of an individual,4121.0,2.6867265227,1.021678129,0.0,10.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0
2020.0,roar,Sprain and strain of the knee joint: tear of the anterior cruciate ligament,3893.0,2.9583868482,2.7881364196,1.0,86.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0
2020.0,Ο420,"Premature rupture of membranes, labor starts within 24 hours",3440.0,3.4837209302,1.498190085,0.0,28.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0
2020.0,J42,nasal septal deviation,3338.0,1.9856201318,0.5602211148,1.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0
2020.0,F200,Paranoid schizophrenia,3225.0,65.007131783,269.56475513,0.0,10254.0,0.0,1.0,6.0,19.0,45.0,91.0,147.0
2020.0,S060,concussion,2976.0,1.3760080645,2.6097584792,0.0,128.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
2020.0,F6031,Emotionally unstable personality disorder: borderline type,2610.0,27.086590038,45.62238743,0.0,1460.0,0.0,1.0,4.0,13.0,36.0,71.0,90.0
2020.0,O321,Care of the mother for breech presentation,2555.0,3.8700587084,1.233006571,0.0,17.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0
2020.0,act1,"Recurrent depressive disorder, currently moderate episode",2499.0,30.731492597,26.562680464,0.0,190.0,2.0,4.0,9.0,25.0,46.0,63.0,84.0
2020.0,F321,Moderate depressive episode,2460.0,28.873577236,33.16191735,0.0,630.0,1.0,2.0,7.0,20.0,42.0,63.0,83.0
2020.0,as a chuckle,"Acute appendicitis, unspecified",2424.0,2.0375412541,1.1148611076,0.0,15.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0
2020.0,O48,Transferred pregnancy,2266.0,3.392321271,1.3378884206,0.0,12.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0
2020.0,F432,Adjustment disorders,2157.0,11.615669912,16.968299462,0.0,202.0,1.0,1.0,2.0,6.0,14.0,28.0,42.0
2020.0,kakha 0,Acute appendicitis with localized peritonitis without perforation or rupture,2133.0,2.2100328176,1.2635578617,0.0,31.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0
2020.0,F102,Alcohol-related disorders : Dependency Syndrome,1907.0,31.176717357,37.221659897,0.0,401.0,1.0,2.0,7.0,20.0,39.0,80.0,105.0
