Region of residence,Geographic MedStat region,Number of deliveries,Number of cesarean sections,Cesarean section rate (%),Average age deliveries,Average age cesarean sections,year
GR19,Disentis,40,10,25.0,29.5,29.0,2010
GR20,Engiadina bassa,69,20,29.0,30.0,32.1,2010
GR22,St.Moritz,80,28,35.0,31.5,31.3,2010
GR23,Engiadin 'ota,56,18,32.1,32.6,34.3,2010
GR25,Bernina,45,13,28.9,31.0,31.5,2010
GR26,Mesolcina,55,14,25.5,30.6,30.6,2010
AG01,Aarburg,78,25,32.1,29.5,30.1,2010
AG02,Oftringen,133,47,35.3,31.0,31.2,2010
AG03,Zofingen,132,43,32.6,30.6,30.7,2010
AG04,Aargaues Wiggertal,79,27,34.2,30.6,31.1,2010
AG05,Mühlebach-Uerke,91,34,37.4,30.1,31.8,2010
AG06,Rothrist-Murgenthal,117,42,35.9,30.4,30.1,2010
AG07,Aarau,163,59,36.2,32.5,32.5,2010
AG08,Erlinsbach-Staffelegg,106,38,35.9,30.9,32.4,2010
AG09,Buchs-Rohr,128,31,24.2,30.3,29.6,2010
AG10,Suhr,97,29,29.9,30.0,32.0,2010
AG11,Entfelden,100,24,24.0,30.6,32.0,2010
AG12,Suhretal,107,43,40.2,31.8,32.4,2010
AG13,Kulm,61,20,32.8,31.7,32.5,2010
AG14,Rupperswil-Schafisheim,105,31,29.5,30.4,31.6,2010
AG15,Niederlenz-Holderbank,88,24,27.3,30.4,31.0,2010
AG16,Lenzburg,127,44,34.7,30.3,31.4,2010
AG17,Hallwiler See,72,30,41.7,29.3,31.8,2010
AG18,Aatal,76,25,32.9,30.5,30.7,2010
AG19,Reinach-Beinwil,106,30,28.3,30.1,30.3,2010
AG20,Wynental,118,34,28.8,30.5,30.3,2010
AG21,Menziken,73,30,41.1,29.7,30.3,2010
AG22,Schinznach,79,27,34.2,31.5,32.1,2010
AG23,Brugg,91,21,23.1,30.5,30.4,2010
AG24,Windisch,85,27,31.8,29.9,32.5,2010
AG25,Bözberg-Villigen,69,22,31.9,30.6,31.1,2010
AG26,Birrfeld,93,28,30.1,31.0,31.6,2010
AG27,Eetel-Surb,83,25,30.1,31.0,30.3,2010
AG28,Zurzach-Klingnau,119,46,38.7,30.3,31.4,2010
AG29,Leibstadt-Unteraar,75,29,38.7,30.9,29.6,2010
AG30,Birmenstorf-Turgi,118,38,32.2,30.5,29.9,2010
AG31,Untersiggenthal-Würenlingen,129,45,34.9,29.0,29.5,2010
AG32,Baden-Stadt,109,33,30.3,32.0,34.5,2010
AG33,Fislisbach Ausserbaden,113,34,30.1,33.1,33.0,2010
AG34,Ennetbaden-Ehrendingen,57,22,38.6,31.4,32.4,2010
AG35,Obersiggenthal,81,18,22.2,30.1,31.0,2010
AG36,Wettingen,168,62,36.9,31.5,33.2,2010
AG37,Neuenhof-Würenlos,184,75,40.8,30.5,31.1,2010
AG38,Spreitenbach,159,57,35.9,31.0,31.0,2010
AG39,Rohrdorf,141,40,28.4,31.5,33.8,2010
AG40,Mutschellen-Reppischtal,122,42,34.4,32.4,32.3,2010
AG41,Mellingen-Reusstal,129,56,43.4,30.0,29.4,2010
AG42,Bremgarten-Mutschellen,173,64,37.0,31.6,33.1,2010
AG43,Lunkhofen-Jonental,85,34,40.0,32.0,33.1,2010
AG44,Unterbünztal,106,37,34.9,32.0,32.3,2010
AG45,Wohlen,125,32,25.6,30.0,30.9,2010
AG46,Villmergen-Erusbach,81,25,30.9,29.5,30.6,2010
AG47,Boswil,80,24,30.0,31.6,32.3,2010
AG48,Muri,114,26,22.8,31.6,31.7,2010
AG49,Beinwil-Sins,153,49,32.0,31.3,32.1,2010
AG50,Kaiseraugst-Magden,82,35,42.7,31.5,32.4,2010
AG51,Rheinfelden,121,47,38.8,31.6,33.2,2010
AG52,Möhlin,87,29,33.3,32.4,33.3,2010
AG53,Möhlinbachtal-Mumpf,66,25,37.9,30.8,31.8,2010
AG54,Stein-Sisseln,67,29,43.3,30.7,32.5,2010
AG55,Fricktal,105,35,33.3,31.4,32.6,2010
AG56,Bruggbachtal,43,18,41.9,32.1,33.9,2010
AG57,Laufenburg,80,27,33.8,30.3,30.6,2010
TG01,Thurgauer Oberland,85,27,31.8,29.6,31.0,2010
TG02,Sirnach,102,22,21.6,29.2,32.4,2010
TG03,Wiler Thurgau,75,30,40.0,30.9,31.3,2010
TG04,Münchwilen-Wängi,90,21,23.3,31.2,32.1,2010
TG05,Aadorf-Matzingen,101,30,29.7,31.1,32.8,2010
TG06,Frauenfeld,229,59,25.8,29.4,31.1,2010
TG07,Unterthurtal,64,14,21.9,32.1,31.6,2010
TG08,Märstetten-Seerücken,88,23,26.1,30.9,33.0,2010
TG09,Mittelthurtal-Wolfsbühl,61,18,29.5,30.9,30.5,2010
TG10,Bürglen-Kradolf,68,19,27.9,30.5,29.8,2010
TG11,Weinfelden,82,21,25.6,30.2,30.8,2010
TG12,Sulgen-Berg,68,15,22.1,30.0,31.8,2010
TG13,Diessenhofen,68,24,35.3,32.0,32.6,2010
TG14,Seerücken,49,13,26.5,30.4,30.7,2010
TG15,Untersee,68,21,30.9,33.5,33.2,2010
TG16,Kreuzlingen,188,62,33.0,31.1,32.0,2010
TG17,Kemmental-Töbeltal,64,24,37.5,31.9,32.9,2010
TG18,Münsterlingen-Güttingen,71,32,45.1,31.7,31.6,2010
TG19,Amriswil,142,52,36.6,29.5,29.0,2010
TG20,Erlen-Sitterdorf,69,26,37.7,30.1,31.8,2010
TG21,Romanshorn,106,35,33.0,31.5,29.9,2010
TG22,Egnach,97,42,43.3,31.0,31.6,2010
TG23,Bischofszell,74,27,36.5,31.5,30.6,2010
TG24,Arbon-Horn,131,57,43.5,30.0,31.0,2010
TI01,Riviera,81,18,22.2,30.8,31.9,2010
TI02,Biasca,53,12,22.6,31.0,30.1,2010
TI03,Val Blenio,34,8,23.5,30.6,31.8,2010
TI04,Bassa Leventina,41,13,31.7,29.3,30.6,2010
TI05,Alta Leventina,45,9,20.0,30.3,30.2,2010
TI06,Magadino-Gambarogno,72,25,34.7,30.9,32.3,2010
TI07,Gordola-Verzasca,52,16,30.8,30.4,31.1,2010
TI08,Locarno,146,49,33.6,31.4,30.4,2010
TI09,Losone-Centovalli-Onsernone,83,29,34.9,31.2,30.5,2010
TI10,Ascona-Brissago,53,23,43.4,31.8,33.5,2010
TI11,Minusio-Orselina,59,18,30.5,31.3,30.6,2010
TI12,Vallemaggia,40,11,27.5,30.8,34.2,2010
TI13,Bellinzona,164,50,30.5,31.1,31.1,2010
TI14,Lumino-Carasso,102,21,20.6,31.0,31.9,2010
TI15,Giubiasco-Val Morobbia,114,30,26.3,30.6,31.9,2010
TI16,Alto Piano di Magadino,105,32,30.5,30.0,31.7,2010
TI17,Alto Vedeggio,73,28,38.4,30.3,30.3,2010
TI18,Alto Val d'Agno,79,37,46.8,32.4,33.5,2010
TI19,Collina d'Oro-Arbòstora,98,42,42.9,32.7,34.5,2010
TI20,Lugano,305,110,36.1,31.0,32.0,2010
TI21,Viganello-Monte Brè,73,23,31.5,31.6,32.3,2010
TI22,Breganzona,83,28,33.7,31.9,32.8,2010
TI23,Magliaso-Val d'Agno,76,36,47.4,32.7,32.0,2010
TI24,Malcantone,83,32,38.6,32.0,33.3,2010
TI25,Savosa-Comano,109,46,42.2,31.5,32.0,2010
TI26,Capriasca-Valcolla,97,33,34.0,31.5,34.2,2010
TI27,Pregassona,109,35,32.1,31.4,31.8,2010
TI28,Soragno-Sonvico,66,24,36.4,32.8,34.7,2010
TI29,Riva-Valle Mara,61,22,36.1,32.4,33.1,2010
TI30,Balerna-Novazzano,70,16,22.9,32.0,33.3,2010
TI31,Chiasso,55,18,32.7,30.7,32.3,2010
TI32,Val di Muggio,100,27,27.0,31.8,33.6,2010
TI33,Mendrisio,48,20,41.7,32.1,33.6,2010
TI34,Stabio-Meride,89,27,30.3,32.2,33.9,2010
VD01,Avenches,77,18,23.4,30.0,31.5,2010
VD02,Epalinges-Forains,106,35,33.0,31.9,32.5,2010
VD03,Lausanne-Centre,214,74,34.6,29.9,31.9,2010
VD04,Lausanne-Beaulieu-Prélaz,340,107,31.5,31.7,32.3,2010
VD05,Lausaanne-Ouchy-Montchoisi,157,47,29.9,31.8,34.4,2010
VD06,Lausanne-Vidy-Montoie,301,80,26.6,30.5,31.8,2010
VD07,Prilly,167,59,35.3,30.0,31.1,2010
VD08,Pully,198,67,33.8,31.3,31.7,2010
VD09,Lausanne-La Sallaz,151,51,33.8,30.0,30.9,2010
VD10,Lausanne-Chailly,117,28,23.9,31.4,31.9,2010
VD11,Lausanne-Pontaise-Bellevaux,293,83,28.3,30.5,31.7,2010
VD12,Renens,248,79,31.9,32.2,32.6,2010
VD13,Ecublens-Chavannes,291,97,33.3,31.6,31.4,2010
VD14,Bussigny-Crissier,189,66,34.9,30.0,32.8,2010
VD15,Romanel-Cheseaux,82,28,34.2,31.5,30.5,2010
VD16,Hauts-de-Lausanne,107,39,36.5,31.0,32.4,2010
VD17,Savigny-Belmont,81,38,46.9,32.1,35.6,2010
VD18,Lutry,73,25,34.3,33.1,36.3,2010
VD19,Basse-Venoge,122,42,34.4,31.5,32.9,2010
VD20,Morges,161,75,46.6,31.5,33.6,2010
VD21,Hauts-de-Morges,89,25,28.1,32.4,33.3,2010
VD22,St-Prex,116,34,29.3,30.5,33.5,2010
VD23,Pied-du-Jura,86,29,33.7,32.8,33.3,2010
VD24,Aubonne-Littoral,88,35,39.8,32.4,32.6,2010
VD25,Rolle-La Côte,177,66,37.3,33.1,32.4,2010
VD26,Gland,144,45,31.3,32.0,31.7,2010
VD27,Nyon,247,81,32.8,32.0,31.6,2010
VD28,Bonmont,96,40,41.7,35.0,35.5,2010
VD29,Promenthouse,85,34,40.0,31.0,32.7,2010
VD30,Trélex-Givrine,88,32,36.4,32.9,34.1,2010
VD31,Terre-Sainte,109,33,30.3,35.2,36.5,2010
VD32,Puidoux-Chexbres,57,21,36.8,29.9,29.9,2010
VD33,Cully-Lavaux,79,28,35.4,32.6,35.3,2010
VD34,Vevey,251,57,22.7,31.5,32.6,2010
VD35,Mont-Pèlerin,95,25,26.3,31.4,33.7,2010
VD36,Hauts-de-la-Tour,89,34,38.2,30.9,31.6,2010
VD37,La Tour-de-Peilz,79,16,20.3,29.8,31.8,2010
VD38,Clarens-Les Avants,146,30,20.6,29.5,31.7,2010
VD39,Montreux-Chillon,103,23,22.3,31.7,31.2,2010
VD40,Villeneuve-Chablais,92,27,29.4,30.1,32.9,2010
VD41,Les Ormonts,37,9,24.3,31.6,32.9,2010
VD42,Ollon-Villars,44,9,20.5,30.4,33.0,2010
VD43,Aigle,124,34,27.4,30.1,29.9,2010
VD44,Bex,90,27,30.0,29.7,31.3,2010
VD45,Pays-d'Enhaut,38,7,18.4,28.8,30.2,2010
VD46,Venoge-Est,135,45,33.3,30.4,31.5,2010
VD47,Echallens,84,24,28.6,31.2,31.9,2010
VD48,Jorat-Essertines,97,35,36.1,31.4,31.8,2010
VD49,Cossonay-Pied-du-Jura,116,44,37.9,30.5,31.3,2010
VD50,La Sarraz-Nozon,96,25,26.0,32.1,32.9,2010
VD51,Orbe-Gorges,93,35,37.6,30.0,30.1,2010
VD52,Chavornay-Talent,76,20,26.3,30.0,30.8,2010
VD53,Yverdon,330,107,32.4,29.1,30.5,2010
VD54,Yvonand-Menthue,75,23,30.7,29.7,30.8,2010
VD55,Val d'Arnon-Provence,40,8,20.0,32.0,32.9,2010
VD56,Yverdon-Couronne,97,31,32.0,31.0,32.2,2010
VD57,Balcon-du-Jura,61,16,26.2,29.0,27.8,2010
VD58,Vallorbe-Ballaigues,26,10,38.5,29.9,29.4,2010
VD59,Vallée de Joux,68,22,32.4,30.6,31.4,2010
VD60,Moudon-Thierrens,115,25,21.7,30.0,33.6,2010
VD61,Haut-Jorat,61,20,32.8,32.5,33.5,2010
VD62,Oron-Palézieux,65,17,26.2,32.1,30.3,2010
VD63,Moyenne-Broye,79,26,32.9,30.0,29.8,2010
VD64,Payerne,137,32,23.4,30.5,30.3,2010
VS01,Goms,48,13,27.1,31.4,30.4,2010
VS02,Brig-Glis,103,31,30.1,31.2,31.1,2010
VS03,Simplonpass,29,4,13.8,33.9,34.3,2010
VS04,Naters-Mörel,101,35,34.7,31.2,32.6,2010
VS05,Saastal,54,14,25.9,30.1,31.7,2010
VS06,Raron-Lötschental,66,19,28.8,31.2,30.8,2010
VS07,Zermatt,55,22,40.0,30.6,32.4,2010
VS08,Mattertal,60,17,28.3,29.0,30.6,2010
VS09,Visp,98,38,38.8,29.6,31.0,2010
VS10,Susten-Gampel,46,14,30.4,30.3,32.9,2010
VS11,Leuk-Leukerbad,38,9,23.7,29.7,30.0,2010
VS12,Chalais-Lens,95,23,24.2,31.0,30.9,2010
VS13,Sierre,158,40,25.3,30.5,30.0,2010
VS14,Anniviers,24,4,16.7,31.1,36.3,2010
VS15,Plateau-de-Montana,39,7,18.0,30.8,31.0,2010
VS16,Hauts-de-Sierre,61,13,21.3,31.5,32.9,2010
VS17,Sion,243,60,24.7,29.0,29.6,2010
VS18,Chamoson-Vétroz,122,31,25.4,29.6,30.5,2010
VS19,Sion-Couronne Est,98,29,29.6,30.7,33.4,2010
VS20,Hérens,51,11,21.6,29.6,34.3,2010
VS21,Conthey,100,30,30.0,30.0,31.1,2010
VS22,Savièse,102,29,28.4,29.5,30.7,2010
VS23,Nendaz,70,15,21.4,29.0,33.4,2010
VS24,Forclaz-Vallée du Trient,75,16,21.3,31.6,29.4,2010
VS25,Charrat-Riddes,111,37,33.3,30.1,32.5,2010
VS26,Fully-Leytron,130,35,26.9,31.1,31.3,2010
VS27,Martigny,201,49,24.4,30.5,31.4,2010
VS28,Entremont,62,13,21.0,32.2,34.2,2010
VS29,Bagnes,67,17,25.4,33.7,33.8,2010
VS30,Collombey-Muraz,96,34,35.4,31.0,32.9,2010
VS31,St-Maurice,89,22,24.7,29.5,30.0,2010
VS32,Monthey,180,47,26.1,29.0,31.1,2010
VS33,Val d'Illiez,72,18,25.0,30.7,31.6,2010
VS34,Bas-Chablais Valaisan,78,22,28.2,31.2,30.9,2010
NE01,Neuchâtel,344,99,28.8,31.0,31.9,2010
NE02,Peseux-Corcelles,119,31,26.1,31.4,32.1,2010
NE03,Colombier-Gorges de l'Areuse,82,20,24.4,30.9,30.8,2010
NE04,Boudry-Areuse,106,18,17.0,30.0,30.8,2010
NE05,Bevaix-Béroche,71,18,25.4,30.5,32.7,2010
NE06,Seyon-Vue des Alpes,86,17,19.8,30.8,31.8,2010
NE07,Val de Ruz-Col des Pontins,85,17,20.0,30.2,33.5,2010
NE08,Marin-St-Blaise,108,28,25.9,31.0,30.9,2010
NE09,Canal de Thielle,92,18,19.6,29.6,31.3,2010
NE10,Sagne-Martel-Brévine,36,10,27.8,29.8,31.3,2010
NE11,Le Locle,119,27,22.7,30.6,30.5,2010
NE12,La Chaux-de-Fonds,374,95,25.4,30.0,30.9,2010
NE13,Bas Val de Travers,42,8,19.1,31.2,33.5,2010
NE14,Haut Val de Travers,61,15,24.6,29.7,32.3,2010
GE01,Genève-Cornavin,273,82,30.0,30.9,32.5,2010
GE02,Genève-Servette-Nations,322,90,28.0,31.6,32.6,2010
GE03,Genève-Charmilles,390,112,28.7,31.0,32.4,2010
GE04,Genève-Cité,66,21,31.8,31.1,32.1,2010
GE05,Genève-Plainpalais,443,133,30.0,31.2,33.3,2010
GE06,Genève-Champel,211,73,34.6,32.6,34.4,2010
GE07,Genève-Eaux-Vives,217,64,29.5,31.1,33.6,2010
GE08,Genève-Malagnou,140,55,39.3,31.9,34.7,2010
GE09,Genève-Petit-Saconnex,73,16,21.9,29.5,31.2,2010
GE10,Grand-Lancy,177,55,31.1,30.5,32.7,2010
GE11,Onex-Lancy,354,97,27.4,30.6,32.3,2010
GE12,Vernier Village,98,32,32.7,29.5,32.2,2010
GE13,Cointrin-Avanchets,94,27,28.7,31.0,33.5,2010
GE14,Meyrin,237,71,30.0,30.9,31.6,2010
GE15,Le Grand-Saconnex,142,41,28.9,32.4,32.8,2010
GE16,Châtelaine-Aïre-Lignon,201,54,26.9,28.6,28.0,2010
GE17,Cologny-Vésenaz,85,28,32.9,34.0,35.4,2010
GE18,Chêne-Conches,87,33,37.9,31.0,33.5,2010
GE19,Chêne-Bourg,76,16,21.1,30.9,30.7,2010
GE20,Thônex,121,52,43.0,30.4,33.6,2010
GE21,Carouge,331,112,33.8,31.5,31.1,2010
GE22,Plan-Perly,146,37,25.3,32.7,31.5,2010
GE23,Bernex-Confignon,136,32,23.5,31.4,32.4,2010
GE24,Veyrier-Troinex,107,33,30.8,31.4,32.5,2010
GE25,Mandement-Vallée du Rhône,151,43,28.5,31.5,33.0,2010
GE26,Léman Rive Droite,101,33,32.7,32.2,33.7,2010
GE27,Vandoeuvres-Campagne,100,26,26.0,32.9,34.0,2010
GE28,Collonge-Hermance,67,23,34.3,34.2,33.9,2010
GE29,Versoix-Céligny,151,47,31.1,31.8,32.5,2010
JU01,Les Franches-Montagnes,87,37,42.5,30.5,29.3,2010
JU02,Delémont,135,27,20.0,29.9,30.8,2010
JU03,La Sorne,127,19,15.0,30.2,31.7,2010
JU04,Val Terbi,108,18,16.7,31.0,33.3,2010
JU05,Clos-du-Doubs-Courgenay,41,2,4.9,30.3,26.5,2010
JU06,Porrentruy,56,11,19.6,28.8,28.7,2010
JU07,Basse-Allaine-Damvant,49,8,16.3,28.9,32.0,2010
JU08,Haute-Allaine-Bonfol,52,5,9.6,31.0,27.4,2010
ZH01,Zürich-City,196,69,35.204081632653065,32.69230769230769,33.095238095238095,2011
ZH02,Zürich-Sihlfeld,266,63,23.684210526315788,30.93103448275862,31.041666666666668,2011
ZH03,Zürich-Aussersihl,312,128,41.02564102564102,31.5,31.12,2011
ZH04,Zürich-Industriequartier,170,56,32.94117647058823,30.92,31.736842105263158,2011
ZH05,Zürich-Universität,263,111,42.20532319391635,34.458333333333336,34.75,2011
ZH06,Zürich-Riesbach,174,69,39.6551724137931,33.5,34.611111111111114,2011
ZH07,Zürich-Hottingen,195,102,52.307692307692314,33.89473684210526,34.8,2011
ZH08,Zürich-Wipkingen,217,76,35.02304147465438,32.333333333333336,34.421052631578945,2011
ZH09,Zürich-Wollishofen,192,79,41.14583333333333,30.956521739130434,32.0,2011
ZH10,Zürich-Leimbach-Albisgütli,164,42,25.609756097560975,30.5,32.785714285714285,2011
ZH11,Zürich-Zürichberg,184,77,41.84782608695652,32.375,33.666666666666664,2011
ZH12,Zürich-Affoltern,287,103,35.88850174216028,31.615384615384617,32.130434782608695,2011
ZH13,Zürich-Albisrieden,218,78,35.77981651376147,29.92,31.571428571428573,2011
ZH14,Zürich-Altstetten,349,134,38.39541547277937,32.5,31.53846153846154,2011
ZH15,Zürich-Höngg,212,96,45.28301886792453,31.869565217391305,32.95238095238095,2011
ZH16,Zürich-Oerlikon,327,110,33.63914373088685,30.85185185185185,32.43478260869565,2011
ZH17,Zürich-Schwamendingen,248,98,39.516129032258064,32.6,33.69230769230769,2011
ZH18,Zürich-Seebach,205,75,36.58536585365854,31.53846153846154,31.5,2011
ZH19,Zürich-Wiedikon,214,93,43.45794392523364,31.08695652173913,32.095238095238095,2011
ZH20,Zürich-Milchbrugg,236,82,34.74576271186441,33.22222222222222,34.77272727272727,2011
ZH21,Regensdorf,182,72,39.56043956043956,31.074074074074073,32.0,2011
ZH22,Maur-Fällanden,145,64,44.13793103448276,33.0,32.95,2011
ZH23,Glattbrugg,312,122,39.1025641025641,30.46153846153846,30.5,2011
ZH24,Kloten,172,55,31.976744186046513,29.423076923076923,29.894736842105264,2011
ZH25,Bassersdorf-Nürensdorf,164,54,32.926829268292686,31.043478260869566,31.866666666666667,2011
ZH26,Dietlikon-Wangen-Brüttisellen,172,68,39.53488372093023,30.458333333333332,31.272727272727273,2011
ZH27,Dübendorf,258,93,36.04651162790697,31.32,31.434782608695652,2011
ZH28,Volketswil,253,81,32.015810276679844,30.46153846153846,32.95238095238095,2011
ZH29,Engstringen-Weiningen,106,40,37.735849056603776,31.846153846153847,33.8,2011
ZH30,Birmensdorf,108,49,45.370370370370374,33.59090909090909,34.0,2011
ZH31,Urdorf,93,33,35.483870967741936,31.047619047619047,32.9375,2011
ZH32,Fahrweid-Oetwil,89,29,32.58426966292135,30.40909090909091,31.6,2011
ZH33,Schlieren,233,74,31.759656652360512,31.074074074074073,33.17391304347826,2011
ZH34,Dietikon,298,91,30.536912751677853,29.5,31.363636363636363,2011
ZH35,Bonstetten-Reppischtal,147,63,42.857142857142854,33.17391304347826,33.85,2011
ZH36,Affoltern am Albis,151,47,31.125827814569533,29.91304347826087,30.105263157894736,2011
ZH37,Obfelden,83,26,31.32530120481928,30.047619047619047,31.8,2011
ZH38,Knonaueramt,110,34,30.909090909090907,32.714285714285715,32.1764705882353,2011
ZH39,Adliswil,178,85,47.752808988764045,30.5,31.3,2011
ZH40,Langnau am Albis,55,25,45.45454545454545,32.3,33.5,2011
ZH41,Thalwil,218,104,47.706422018348626,31.0,31.695652173913043,2011
ZH42,Kilchberg-Rüschlikon,131,59,45.038167938931295,33.7,33.5,2011
ZH43,Wädenswil,216,94,43.51851851851852,32.074074074074076,32.0,2011
ZH44,Richterswil,128,54,42.1875,32.78260869565217,32.857142857142854,2011
ZH45,Horgen,204,93,45.588235294117645,31.458333333333332,31.227272727272727,2011
ZH46,Hirzel,42,11,26.190476190476193,29.944444444444443,32.875,2011
ZH47,Zollikon,118,49,41.52542372881356,34.55,34.6875,2011
ZH48,Zumikon-Forch,69,34,49.275362318840585,33.4,34.588235294117645,2011
ZH49,Egg bei Zürich,65,25,38.46153846153847,31.77777777777778,34.45454545454545,2011
ZH50,Oetwil-Hombrechtikon,124,41,33.064516129032256,30.416666666666668,32.411764705882355,2011
ZH51,Küsnacht,121,50,41.32231404958678,33.65,34.1578947368421,2011
ZH52,Herrliberg-Erlenbach,94,33,35.1063829787234,35.21052631578947,36.0,2011
ZH53,Meilen,142,70,49.29577464788733,31.625,34.22222222222222,2011
ZH54,Männedorf-Uetikon,129,44,34.10852713178294,33.869565217391305,36.05882352941177,2011
ZH55,Stäfa,124,48,38.70967741935484,33.875,34.89473684210526,2011
ZH56,Fehraltorf,109,33,30.275229357798167,31.272727272727273,32.13333333333333,2011
ZH57,Wila-Tösstal,61,15,24.59016393442623,29.952380952380953,31.0,2011
ZH58,Pfäffikon ZH,102,33,32.35294117647059,30.5,31.9375,2011
ZH59,Bäretswil-Hittnau,73,23,31.506849315068493,31.5,33.57142857142857,2011
ZH60,Hinwil,104,28,26.923076923076923,30.714285714285715,32.5,2011
ZH61,Wald-Tösstal,117,29,24.786324786324787,29.708333333333332,30.823529411764707,2011
ZH62,Greifensee,68,21,30.88235294117647,33.80952380952381,33.733333333333334,2011
ZH63,Wetzikon,237,66,27.848101265822784,31.185185185185187,31.09090909090909,2011
ZH64,Bubikon-Dürnten,133,46,34.58646616541353,31.0,28.470588235294116,2011
ZH65,Uster,344,139,40.406976744186046,31.11111111111111,31.12,2011
ZH66,Mönchaltorf-Gossau-Grüningen,157,50,31.84713375796178,31.074074074074073,31.625,2011
ZH67,Rüti,112,38,33.92857142857143,30.19047619047619,29.6875,2011
ZH68,Effretikon-Kemptthal,191,54,28.272251308900525,32.48,32.90909090909091,2011
ZH69,Illnau-Weisslingen,47,16,34.04255319148936,33.0,34.76923076923077,2011
ZH70,Lindau-Brütten,37,8,21.62162162162162,31.875,30.8,2011
ZH71,Elgg-Elsau,993,298,30.010070493454176,31.535714285714285,31.074074074074073,2011
ZH72,Winterthur-Zentrum,98,42,42.857142857142854,32.45,32.5,2011
ZH73,Winterthur-Oberwinterthur,53,21,39.62264150943396,31.666666666666668,30.583333333333332,2011
ZH74,Winterthur-Seen,32,12,37.5,31.647058823529413,30.88888888888889,2011
ZH75,Winterthur-Töss,40,17,42.5,33.23529411764706,33.63636363636363,2011
ZH76,Winterthur-Wülflingen,28,8,28.57142857142857,32.05555555555556,31.428571428571427,2011
ZH77,Neftenbach,108,33,30.555555555555557,32.4,32.1875,2011
ZH78,Seuzach,95,37,38.94736842105263,31.576923076923077,33.0,2011
ZH79,Wiesendangen-Ellikon,112,31,27.67857142857143,32.095238095238095,32.75,2011
ZH80,Untertösstal,113,37,32.743362831858406,30.095238095238095,30.428571428571427,2011
ZH81,Feuerthalen-Uhwiesen,67,28,41.7910447761194,30.823529411764707,33.416666666666664,2011
ZH82,Südweinland,89,32,35.95505617977528,32.4,31.846153846153847,2011
ZH83,Nordweinland,52,19,36.53846153846153,31.63157894736842,34.54545454545455,2011
ZH84,Ostweinland,49,14,28.57142857142857,32.23529411764706,34.9,2011
ZH85,Hasli-Glatt,211,56,26.540284360189574,30.392857142857142,31.3,2011
ZH86,Dielsdorf-Wehntal,173,52,30.057803468208093,30.5,30.55,2011
ZH87,Stadel,70,18,25.71428571428571,29.894736842105264,33.0,2011
ZH88,Bülach,166,55,33.13253012048193,30.26086956521739,30.7,2011
ZH89,Winkel,84,24,28.57142857142857,30.904761904761905,33.38461538461539,2011
ZH90,Glattfelden-Rafz,166,48,28.915662650602407,31.956521739130434,32.94444444444444,2011
ZH91,Embrach,181,59,32.59668508287293,30.5,31.904761904761905,2011
ZH92,Unterfurttal,177,61,34.463276836158194,31.692307692307693,33.72727272727273,2011
ZH93,Wallisellen,160,61,38.125,31.12,32.63157894736842,2011
BE01,Bern-Länggasse-Tiefenau,217,69,31.797235023041477,32.5,32.333333333333336,2011
BE02,Bern-Zentrum,92,29,31.521739130434785,32.68421052631579,35.42857142857143,2011
BE03,Bern-Ostring,183,62,33.87978142076503,32.30769230769231,32.94736842105263,2011
BE04,Bern-Mattenhof,211,68,32.22748815165877,32.69565217391305,33.4375,2011
BE05,Bern-Holligen,118,42,35.59322033898305,31.541666666666668,30.352941176470587,2011
BE06,Bern-Lorraine,142,37,26.056338028169012,33.45454545454545,34.4375,2011
BE07,Bern-Breitenrain-Wankdorf,143,48,33.56643356643357,30.545454545454547,31.0,2011
BE08,Bern-Bümpliz,172,63,36.627906976744185,30.333333333333332,30.61111111111111,2011
BE09,Wohlen-Frauenkappelen,72,32,44.44444444444444,32.85,32.75,2011
BE10,Bern-Bethlehem,108,43,39.81481481481482,31.541666666666668,32.6,2011
BE11,Bremgarten-Meikirch,104,43,41.34615384615385,31.136363636363637,31.941176470588236,2011
BE12,Ittigen,111,33,29.72972972972973,32.38095238095238,33.470588235294116,2011
BE13,Zollikofen,101,42,41.584158415841586,30.96,32.2,2011
BE14,Münchenbuchsee,82,23,28.04878048780488,30.0,31.066666666666666,2011
BE15,Bolligen-Worbletal,106,38,35.84905660377358,31.0,31.72222222222222,2011
BE16,Ostermundigen,143,49,34.26573426573427,30.545454545454547,31.22222222222222,2011
BE17,Muri,85,40,47.05882352941176,33.5,33.23529411764706,2011
BE18,Worb,94,33,35.1063829787234,30.625,29.944444444444443,2011
BE19,Wabern-Liebefeld,178,60,33.70786516853933,29.5,31.571428571428573,2011
BE20,Köniz,91,33,36.26373626373626,31.38095238095238,32.57142857142857,2011
BE21,Belp-Kehrsatz,152,58,38.15789473684211,31.0,30.45,2011
BE22,Wangental-Scherli,101,41,40.5940594059406,31.047619047619047,31.5,2011
BE23,Schönbühl,109,30,27.522935779816514,30.5,32.11764705882353,2011
BE24,Jegenstorf,53,23,43.39622641509434,30.458333333333332,32.23529411764706,2011
BE25,Ins-Grosses Moos,83,28,33.734939759036145,32.333333333333336,31.533333333333335,2011
BE26,Aarberg,70,28,40.0,32.095238095238095,33.0,2011
BE27,Kallnach-Grosses Moos,70,27,38.57142857142858,32.45,31.3125,2011
BE28,Lyss,119,28,23.52941176470588,29.458333333333332,31.736842105263158,2011
