City,lat,lng,country,iso2,admin_name,capital,population,population_proper
Nyon,46.382,6.2389,Switzerland,CH,Vaud,,20272.0,20272.0
Bülach,47.5189,8.5422,Switzerland,CH,Zürich,,20046.0,20046.0
Vevey,46.4667,6.85,Switzerland,CH,Vaud,,19891.0,19891.0
Opfikon,47.4331,8.5719,Switzerland,CH,Zürich,,19864.0,19864.0
Kloten,47.4481,8.5828,Switzerland,CH,Zürich,,19362.0,19362.0
Reinach,47.4936,7.5908,Switzerland,CH,Basel-Landschaft,,19144.0,19144.0
Baden,47.4729,8.308,Switzerland,CH,Aargau,,19122.0,19122.0
Onex,46.1833,6.1,Switzerland,CH,Genève,,18977.0,18977.0
Adliswil,47.3122,8.5256,Switzerland,CH,Zürich,,18731.0,18731.0
Schlieren,47.3989,8.4497,Switzerland,CH,Zürich,,18666.0,18666.0
Volketswil,47.3906,8.6953,Switzerland,CH,Zürich,,18615.0,18615.0
Pully,46.5167,6.6667,Switzerland,CH,Vaud,,18313.0,18313.0
Regensdorf,47.4383,8.4744,Switzerland,CH,Zürich,,18253.0,18253.0
Gossau,47.4164,9.25,Switzerland,CH,Sankt Gallen,,18171.0,18171.0
Muttenz,47.5228,7.6452,Switzerland,CH,Basel-Landschaft,,17805.0,17805.0
Thalwil,47.2953,8.5647,Switzerland,CH,Zürich,,17784.0,17784.0
Monthey,46.25,6.95,Switzerland,CH,Valais,,17563.0,17563.0
Ostermundigen,46.9553,7.4833,Switzerland,CH,Bern,,17546.0,17546.0
Littau,47.0494,8.2639,Switzerland,CH,Luzern,,17224.0,17224.0
Grenchen,47.1931,7.3958,Switzerland,CH,Solothurn,,17140.0,17140.0
Olten,47.3531,7.9078,Switzerland,CH,Solothurn,,17133.0,17133.0
Sierre,46.2918,7.532,Switzerland,CH,Valais,,16860.0,16860.0
Solothurn,47.2081,7.5375,Switzerland,CH,Solothurn,admin,16777.0,16777.0
Pratteln,47.5185,7.6928,Switzerland,CH,Basel-Landschaft,,16621.0,16621.0
Burgdorf,47.0567,7.6264,Switzerland,CH,Bern,,16280.0,16280.0
Freienbach,47.2047,8.7578,Switzerland,CH,Schwyz,,16269.0,16269.0
Wohlen,47.3506,8.2778,Switzerland,CH,Aargau,,16078.0,16078.0
Locarno,46.1664,8.7997,Switzerland,CH,Ticino,,16012.0,16012.0
Wallisellen,47.4122,8.5922,Switzerland,CH,Zürich,,15855.0,15855.0
Morges,46.5094,6.4986,Switzerland,CH,Vaud,,15838.0,15838.0
Steffisburg,46.7831,7.6333,Switzerland,CH,Bern,,15816.0,15816.0
Herisau,47.3851,9.2786,Switzerland,CH,Appenzell Ausserrhoden,,15780.0,15780.0
Langenthal,47.2153,7.7889,Switzerland,CH,Bern,,15639.0,15639.0
Binningen,47.5333,7.5667,Switzerland,CH,Basel-Landschaft,,15580.0,15580.0
Einsiedeln,47.1278,8.7431,Switzerland,CH,Schwyz,minor,15550.0,15550.0
Lyss,47.075,7.3069,Switzerland,CH,Bern,,15279.0,15279.0
Mendrisio,45.8667,8.9833,Switzerland,CH,Ticino,,14942.0,14942.0
Arbon,47.5167,9.4333,Switzerland,CH,Thurgau,,14537.0,14537.0
Liestal,47.4839,7.735,Switzerland,CH,Basel-Landschaft,admin,14390.0,14390.0
Stäfa,47.2401,8.7328,Switzerland,CH,Zürich,,14389.0,14389.0
Küsnacht,47.3181,8.5825,Switzerland,CH,Zürich,,14250.0,14250.0
Horw,47.0164,8.3111,Switzerland,CH,Luzern,,14243.0,14243.0
Schwyz,47.0211,8.6536,Switzerland,CH,Schwyz,admin,14177.0,14177.0
Thônex,46.2,6.2167,Switzerland,CH,Genève,,14122.0,14122.0
Meilen,47.2703,8.6411,Switzerland,CH,Zürich,,13999.0,13999.0
Oftringen,47.315,7.9236,Switzerland,CH,Aargau,,13791.0,13791.0
Amriswil,47.5497,9.3,Switzerland,CH,Thurgau,,13534.0,13534.0
Versoix,46.2833,6.1667,Switzerland,CH,Genève,,13422.0,13422.0
Richterswil,47.2081,8.7058,Switzerland,CH,Zürich,,13407.0,13407.0
Rheinfelden,47.5539,7.7958,Switzerland,CH,Aargau,minor,13337.0,13337.0
Brig-Glis,46.3159,7.9876,Switzerland,CH,Valais,minor,13109.0,13109.0
Gland,46.4167,6.2667,Switzerland,CH,Vaud,,13106.0,13106.0
Küssnacht,47.0828,8.4408,Switzerland,CH,Schwyz,minor,13084.0,13084.0
Muri,46.9319,7.4872,Switzerland,CH,Bern,,13058.0,13058.0
Zollikon,47.3422,8.5783,Switzerland,CH,Zürich,,13008.0,13008.0
Ecublens,46.5276,6.5605,Switzerland,CH,Vaud,,12854.0,12854.0
Spiez,46.6831,7.6664,Switzerland,CH,Bern,,12810.0,12810.0
Delémont,47.3653,7.3472,Switzerland,CH,Jura,admin,12682.0,12682.0
Buchs,47.1656,9.4711,Switzerland,CH,Sankt Gallen,,12612.0,12612.0
Prilly,46.5333,6.6,Switzerland,CH,Vaud,,12399.0,12399.0
Chêne-Bougeries,46.1833,6.1833,Switzerland,CH,Genève,,12215.0,12215.0
Le Grand-Saconnex,46.2333,6.1167,Switzerland,CH,Genève,,12162.0,12162.0
Rüti,47.2614,8.8556,Switzerland,CH,Zürich,,12098.0,12098.0
Münchenstein,47.5186,7.6174,Switzerland,CH,Basel-Landschaft,,12096.0,12096.0
Villars-sur-Glâne,46.7833,7.1167,Switzerland,CH,Fribourg,,12092.0,12092.0
Affoltern am Albis,47.2817,8.4502,Switzerland,CH,Zürich,,12080.0,12080.0
Arth,47.0644,8.5242,Switzerland,CH,Schwyz,,11983.0,11983.0
La Tour-de-Peilz,46.45,6.8667,Switzerland,CH,Vaud,,11829.0,11829.0
Pfäffikon,47.3667,8.7822,Switzerland,CH,Zürich,minor,11817.0,11817.0
Spreitenbach,47.4181,8.3661,Switzerland,CH,Aargau,,11788.0,11788.0
Altstätten,47.378,9.5488,Switzerland,CH,Sankt Gallen,minor,11730.0,11730.0
Zofingen,47.2884,7.9475,Switzerland,CH,Aargau,,11655.0,11655.0
Veyrier,46.1667,6.1833,Switzerland,CH,Genève,,11609.0,11609.0
Bassersdorf,47.4431,8.6283,Switzerland,CH,Zürich,,11593.0,11593.0
Weinfelden,47.5698,9.112,Switzerland,CH,Thurgau,minor,11534.0,11534.0
Belp,46.8914,7.4972,Switzerland,CH,Bern,,11439.0,11439.0
Worb,46.9306,7.5644,Switzerland,CH,Bern,,11311.0,11311.0
Hinwil,47.3033,8.8444,Switzerland,CH,Zürich,minor,11179.0,11179.0
Romanshorn,47.5635,9.3564,Switzerland,CH,Thurgau,,11167.0,11167.0
Oberwil,47.5135,7.5546,Switzerland,CH,Basel-Landschaft,,11136.0,11136.0
Brugg,47.4864,8.2083,Switzerland,CH,Aargau,,11129.0,11129.0
Möhlin,47.5583,7.8458,Switzerland,CH,Aargau,,11042.0,11042.0
Männedorf,47.2553,8.6917,Switzerland,CH,Zürich,,10957.0,10957.0
Davos,46.8091,9.8398,Switzerland,CH,Graubünden,minor,10862.0,10862.0
Plan-les-Ouates,46.1667,6.1167,Switzerland,CH,Genève,,10656.0,10656.0
Waltikon,47.3667,8.5833,Switzerland,CH,Zürich,,10600.0,10600.0
Lenzburg,47.3875,8.1803,Switzerland,CH,Aargau,,10569.0,10569.0
Flawil,47.4053,9.1977,Switzerland,CH,Sankt Gallen,,10520.0,10520.0
Neuhausen am Rheinfall,47.6831,8.6167,Switzerland,CH,Schaffhausen,,10510.0,10510.0
Le Locle,47.0532,6.7482,Switzerland,CH,Neuchâtel,,10433.0,10433.0
Suhr,47.3747,8.0806,Switzerland,CH,Aargau,,10424.0,10424.0
Sarnen,46.8969,8.2469,Switzerland,CH,Obwalden,admin,10368.0,10368.0
Aesch,47.4694,7.5942,Switzerland,CH,Basel-Landschaft,,10352.0,10352.0
Birsfelden,47.5531,7.6231,Switzerland,CH,Basel-Landschaft,,10299.0,10299.0
Lutry,46.5151,6.699,Switzerland,CH,Vaud,,10289.0,10289.0
Bernex,46.1784,6.0684,Switzerland,CH,Genève,,10233.0,10233.0
Maur,47.3417,8.6703,Switzerland,CH,Zürich,,10148.0,10148.0
Aigle,46.3173,6.9646,Switzerland,CH,Valais,,10131.0,10131.0
Naters,46.3237,7.9886,Switzerland,CH,Valais,,10073.0,10073.0
Steinhaus,47.1969,8.4861,Switzerland,CH,Luzern,,10025.0,10025.0
Therwil,47.4997,7.55,Switzerland,CH,Basel-Landschaft,,9947.0,9947.0
Payerne,46.8167,6.9333,Switzerland,CH,Vaud,,9943.0,9943.0
Gossau,47.3081,8.7567,Switzerland,CH,Zürich,,9937.0,9937.0
Sursee,47.1742,8.1081,Switzerland,CH,Luzern,minor,9900.0,9900.0
Hochdorf,47.1664,8.2889,Switzerland,CH,Luzern,,9832.0,9832.0
Urdorf,47.3867,8.4278,Switzerland,CH,Zürich,,9768.0,9768.0
Wald,47.2753,8.9144,Switzerland,CH,Zürich,,9758.0,9758.0
Estavayer-le-Lac,46.85,6.8472,Switzerland,CH,Fribourg,,9712.0,9712.0
Wittenbach,47.4667,9.3795,Switzerland,CH,Sankt Gallen,,9691.0,9691.0
Widnau,47.3997,9.6333,Switzerland,CH,Sankt Gallen,,9616.0,9616.0
Epalinges,46.55,6.6667,Switzerland,CH,Vaud,,9611.0,9611.0
Rorschach,47.4786,9.4936,Switzerland,CH,Sankt Gallen,minor,9439.0,9439.0
Embrach,47.5103,8.5933,Switzerland,CH,Zürich,,9419.0,9419.0
Altdorf,46.8806,8.6394,Switzerland,CH,Uri,admin,9401.0,9401.0
Langnau,46.9433,7.7853,Switzerland,CH,Bern,minor,9366.0,9366.0
Goldach,47.4831,9.4664,Switzerland,CH,Sankt Gallen,,9269.0,9269.0
Schübelbach,47.1733,8.9264,Switzerland,CH,Schwyz,,9249.0,9249.0
Arlesheim,47.4922,7.6203,Switzerland,CH,Basel-Landschaft,,9202.0,9202.0
Niederhasli,47.4822,8.4861,Switzerland,CH,Zürich,,9188.0,9188.0
Rothrist,47.3028,7.8833,Switzerland,CH,Aargau,,9121.0,9121.0
Aadorf,47.4939,8.8975,Switzerland,CH,Thurgau,,9036.0,9036.0
Ingenbohl,47.0028,8.6117,Switzerland,CH,Schwyz,,8912.0,8912.0
Oberriet,47.3164,9.5664,Switzerland,CH,Sankt Gallen,,8878.0,8878.0
Zuchwil,47.2056,7.5597,Switzerland,CH,Solothurn,,8875.0,8875.0
Unterägeri,47.1386,8.5844,Switzerland,CH,Zug,,8867.0,8867.0
Landquart,46.9497,9.5667,Switzerland,CH,Graubünden,,8849.0,8849.0
Neuenhof,47.4469,8.3292,Switzerland,CH,Aargau,,8824.0,8824.0
Hünenberg,47.1761,8.4264,Switzerland,CH,Zug,,8807.0,8807.0
Fully,46.1333,7.1167,Switzerland,CH,Valais,,8759.0,8759.0
Lachen,47.1911,8.8567,Switzerland,CH,Schwyz,minor,8754.0,8754.0
Wattwil,47.2957,9.083,Switzerland,CH,Sankt Gallen,,8736.0,8736.0
Bussy,46.55,6.55,Switzerland,CH,Vaud,,8736.0,8736.0
Conthey,46.2725,7.2548,Switzerland,CH,Valais,,8691.0,8691.0
Mels,47.0497,9.4167,Switzerland,CH,Sankt Gallen,,8620.0,8620.0
Egg,47.3019,8.6906,Switzerland,CH,Zürich,,8596.0,8596.0
Hombrechtikon,47.2533,8.7703,Switzerland,CH,Zürich,,8595.0,8595.0
Fällanden,47.3717,8.64,Switzerland,CH,Zürich,,8575.0,8575.0
Biberist,47.1828,7.5586,Switzerland,CH,Solothurn,,8567.0,8567.0
Obersiggenthal,47.4869,8.2921,Switzerland,CH,Aargau,,8565.0,8565.0
Le Mont-sur-Lausanne,46.55,6.6333,Switzerland,CH,Vaud,,8523.0,8523.0
Reinach,47.2539,8.1833,Switzerland,CH,Aargau,,8498.0,8498.0
Kilchberg,47.3247,8.5492,Switzerland,CH,Zürich,,8437.0,8437.0
Stans,46.9594,8.3667,Switzerland,CH,Nidwalden,admin,8393.0,8393.0
Oberentfelden,47.3597,8.0486,Switzerland,CH,Aargau,,8360.0,8360.0
Murten,46.9281,7.1169,Switzerland,CH,Fribourg,,8222.0,8222.0
Bagnes,46.0833,7.2167,Switzerland,CH,Valais,,8096.0,8096.0
Aarburg,47.3206,7.9014,Switzerland,CH,Aargau,,8068.0,8068.0
Domat/Ems,46.8198,9.4545,Switzerland,CH,Graubünden,minor,8037.0,8037.0
Chiasso,45.8353,9.032,Switzerland,CH,Ticino,,7975.0,7975.0
Buchs,47.3889,8.0747,Switzerland,CH,Aargau,,7966.0,7966.0
Düdingen,46.8461,7.1906,Switzerland,CH,Fribourg,,7961.0,7961.0
Crissier,46.55,6.5833,Switzerland,CH,Vaud,,7930.0,7930.0
Rümlang,47.4533,8.5331,Switzerland,CH,Zürich,,7929.0,7929.0
Visp,46.2922,7.8828,Switzerland,CH,Valais,,7891.0,7891.0
Muri,47.2747,8.3417,Switzerland,CH,Aargau,minor,7810.0,7810.0
Au,47.4331,9.6333,Switzerland,CH,Sankt Gallen,,7788.0,7788.0
Willisau,47.1206,7.9928,Switzerland,CH,Luzern,,7780.0,7780.0
Bex,46.25,7.0167,Switzerland,CH,Vaud,,7771.0,7771.0
Sirnach,47.4664,8.9997,Switzerland,CH,Thurgau,,7767.0,7767.0
Bremgarten,47.3528,8.34,Switzerland,CH,Aargau,minor,7765.0,7765.0
Gränichen,47.3583,8.0997,Switzerland,CH,Aargau,,7733.0,7733.0
Chavannes-près-Renens,46.5282,6.5762,Switzerland,CH,Vaud,,7724.0,7724.0
Savièse,46.25,7.3333,Switzerland,CH,Valais,,7712.0,7712.0
Dietlikon,47.42,8.6192,Switzerland,CH,Zürich,,7685.0,7685.0
Windisch,47.4803,8.2222,Switzerland,CH,Aargau,,7654.0,7654.0
Rothenburg,47.0939,8.2717,Switzerland,CH,Luzern,,7571.0,7571.0
Dürnten,47.2789,8.8433,Switzerland,CH,Zürich,,7518.0,7518.0
Langnau am Albis,47.2894,8.5414,Switzerland,CH,Zürich,,7500.0,7500.0
Ollon,46.2973,6.9935,Switzerland,CH,Vaud,,7497.0,7497.0
Hirslen,47.3646,8.5663,Switzerland,CH,Zürich,,7465.0,7465.0
Moutier,47.2803,7.3708,Switzerland,CH,Bern,,7378.0,7378.0
Villmergen,47.3483,8.2456,Switzerland,CH,Aargau,,7324.0,7324.0
Minusio,46.1833,8.8167,Switzerland,CH,Ticino,,7303.0,7303.0
Seuzach,47.5358,8.7294,Switzerland,CH,Zürich,,7291.0,7291.0
Rorschacherberg,47.4664,9.5,Switzerland,CH,Sankt Gallen,,7285.0,7285.0
Wollerau,47.1956,8.7194,Switzerland,CH,Schwyz,,7255.0,7255.0
Untersiggenthal,47.502,8.2538,Switzerland,CH,Aargau,,7240.0,7240.0
Meggen,47.0464,8.3744,Switzerland,CH,Luzern,,7238.0,7238.0
Herzogenbuchsee,47.1884,7.7062,Switzerland,CH,Bern,,7197.0,7197.0
Bubikon,47.2694,8.8203,Switzerland,CH,Zürich,,7194.0,7194.0
Reiden,47.2431,7.9683,Switzerland,CH,Luzern,,7131.0,7131.0
Altendorf,47.1922,8.83,Switzerland,CH,Schwyz,,7081.0,7081.0
Grabs,47.1831,9.45,Switzerland,CH,Sankt Gallen,,7068.0,7068.0
Orbe,46.7245,6.5322,Switzerland,CH,Vaud,,6987.0,6987.0
Châtel-Saint-Denis,46.5269,6.9011,Switzerland,CH,Fribourg,,6969.0,6969.0
Oberglatt,47.4775,8.52,Switzerland,CH,Zürich,,6964.0,6964.0
Frutigen,46.5831,7.6497,Switzerland,CH,Bern,,6921.0,6921.0
Ruswil,47.0836,8.1261,Switzerland,CH,Luzern,,6856.0,6856.0
Schwarzenburg,46.8167,7.3333,Switzerland,CH,Bern,,6829.0,6829.0
Heimberg,46.7831,7.5997,Switzerland,CH,Bern,,6827.0,6827.0
Saanen,46.4831,7.2664,Switzerland,CH,Bern,,6817.0,6817.0
Nidau,47.1256,7.2403,Switzerland,CH,Bern,,6815.0,6815.0
Dornach,47.4789,7.6181,Switzerland,CH,Solothurn,,6778.0,6778.0
Losone,46.1689,8.7421,Switzerland,CH,Ticino,,6701.0,6701.0
Bottmingen,47.5236,7.5697,Switzerland,CH,Basel-Landschaft,,6691.0,6691.0
Sissach,47.4644,7.8106,Switzerland,CH,Basel-Landschaft,,6681.0,6681.0
Porrentruy,47.4167,7.0833,Switzerland,CH,Jura,,6675.0,6675.0
Beromünster,47.1997,8.2,Switzerland,CH,Luzern,,6580.0,6580.0
Thal,47.4664,9.5667,Switzerland,CH,Sankt Gallen,,6570.0,6570.0
Oberengstringen,47.4103,8.4633,Switzerland,CH,Zürich,,6569.0,6569.0
Trimbach,47.3636,7.9,Switzerland,CH,Solothurn,,6543.0,6543.0
Wiesendangen,47.5222,8.7911,Switzerland,CH,Zürich,,6521.0,6521.0
Derendingen,47.1919,7.5899,Switzerland,CH,Solothurn,,6483.0,6483.0
Würenlos,47.4418,8.3647,Switzerland,CH,Aargau,,6482.0,6482.0
Diepoldsau,47.3831,9.65,Switzerland,CH,Sankt Gallen,,6469.0,6469.0
Frenkendorf,47.5031,7.7144,Switzerland,CH,Basel-Landschaft,,6435.0,6435.0
Uznach,47.2242,8.9839,Switzerland,CH,Sankt Gallen,,6416.0,6416.0
Oberuzwil,47.4294,9.1236,Switzerland,CH,Sankt Gallen,,6412.0,6412.0
Birmensdorf,47.3542,8.4378,Switzerland,CH,Zürich,,6385.0,6385.0
Fehraltorf,47.3861,8.7547,Switzerland,CH,Zürich,,6378.0,6378.0
Vétroz,46.2258,7.2707,Switzerland,CH,Valais,,6372.0,6372.0
Kerns,46.9025,8.2761,Switzerland,CH,Obwalden,,6337.0,6337.0
Menziken,47.24,8.1917,Switzerland,CH,Aargau,,6330.0,6330.0
Buchs,47.4589,8.4378,Switzerland,CH,Zürich,,6303.0,6303.0
Herrliberg,47.2972,8.6302,Switzerland,CH,Zürich,,6290.0,6290.0
Oensingen,47.2886,7.7139,Switzerland,CH,Solothurn,,6284.0,6284.0
Teufen,47.39,9.39,Switzerland,CH,Appenzell Ausserrhoden,,6265.0,6265.0
Bolligen,46.9761,7.4986,Switzerland,CH,Bern,,6262.0,6262.0
Rolle,46.4575,6.3317,Switzerland,CH,Vaud,,6259.0,6259.0
Massagno,46.0167,8.95,Switzerland,CH,Ticino,,6227.0,6227.0
Gelterkinden,47.4653,7.8528,Switzerland,CH,Basel-Landschaft,,6200.0,6200.0
Küttigen,47.4164,8.05,Switzerland,CH,Aargau,,6180.0,6180.0
Blonay,46.4667,6.9,Switzerland,CH,Vaud,,6173.0,6173.0
Boudry,46.95,6.8333,Switzerland,CH,Neuchâtel,,6152.0,6152.0
Uetikon am See,47.2669,8.6772,Switzerland,CH,Zürich,,6145.0,6145.0
Moudon,46.6687,6.7974,Switzerland,CH,Vaud,,6135.0,6135.0
Balsthal,47.3164,7.6944,Switzerland,CH,Solothurn,minor,6117.0,6117.0
Buchrain,47.0953,8.3475,Switzerland,CH,Luzern,,6116.0,6116.0
Biasca,46.35,8.9667,Switzerland,CH,Ticino,,6115.0,6115.0
Obererli,47.1358,8.6136,Switzerland,CH,Schwyz,,6080.0,6080.0
Alpnach,46.9499,8.2309,Switzerland,CH,Obwalden,,6031.0,6031.0
Bischofszell,47.4997,9.2333,Switzerland,CH,Thurgau,,6016.0,6016.0
Glarus,47.0333,9.0667,Switzerland,CH,Glarus,admin,5996.0,5996.0
Kirchberg,47.0858,7.5861,Switzerland,CH,Bern,,5965.0,5965.0
Dielsdorf,47.4836,8.4542,Switzerland,CH,Zürich,,5940.0,5940.0
Zell,47.4489,8.8233,Switzerland,CH,Zürich,,5929.0,5929.0
Saxon,46.15,7.1667,Switzerland,CH,Valais,,5897.0,5897.0
Uetendorf,46.7664,7.5667,Switzerland,CH,Bern,,5892.0,5892.0
Sankt Margrethen,47.4497,9.6331,Switzerland,CH,Appenzell Ausserrhoden,,5886.0,5886.0
Rüschlikon,47.3081,8.5542,Switzerland,CH,Zürich,,5830.0,5830.0
Peseux,46.9955,6.8895,Switzerland,CH,Neuchâtel,,5809.0,5809.0
Hergiswil,46.9844,8.3125,Switzerland,CH,Nidwalden,,5777.0,5777.0
Villeneuve,46.4063,6.9731,Switzerland,CH,Vaud,,5767.0,5767.0
Unterseen,46.6872,7.8497,Switzerland,CH,Bern,,5750.0,5750.0
Jegenstorf,47.0497,7.5069,Switzerland,CH,Bern,,5742.0,5742.0
Echallens,46.6333,6.6333,Switzerland,CH,Vaud,minor,5740.0,5740.0
Neftenbach,47.5283,8.6681,Switzerland,CH,Zürich,,5692.0,5692.0
Saint-Prex,46.4836,6.4575,Switzerland,CH,Vaud,,5679.0,5679.0
Walenstadt,47.1234,9.315,Switzerland,CH,Sankt Gallen,,5679.0,5679.0
Appenzell,47.3306,9.4086,Switzerland,CH,Appenzell Innerrhoden,admin,5649.0,5649.0
Zermatt,46.0193,7.7461,Switzerland,CH,Valais,,5643.0,5643.0
Mellingen,47.4192,8.2764,Switzerland,CH,Aargau,,5633.0,5633.0
Lindau,47.4431,8.6719,Switzerland,CH,Zürich,,5621.0,5621.0
Interlaken,46.6881,7.8646,Switzerland,CH,Bern,minor,5592.0,5592.0
Sennwald,47.2439,9.4768,Switzerland,CH,Sankt Gallen,,5592.0,5592.0
Nürensdorf,47.4467,8.6486,Switzerland,CH,Zürich,,5591.0,5591.0
Kaiseraugst,47.5414,7.7278,Switzerland,CH,Aargau,,5576.0,5576.0
Cologny,46.2167,6.1833,Switzerland,CH,Genève,,5570.0,5570.0
Erlenbach,47.3044,8.5922,Switzerland,CH,Zürich,,5567.0,5567.0
Frick,47.5081,8.0222,Switzerland,CH,Aargau,,5563.0,5563.0
Laufen,47.4167,7.5,Switzerland,CH,Basel-Landschaft,,5556.0,5556.0
Colombier,46.9667,6.8667,Switzerland,CH,Neuchâtel,,5547.0,5547.0
Fislisbach,47.4386,8.2944,Switzerland,CH,Aargau,,5544.0,5544.0
Bonstetten,47.3156,8.4692,Switzerland,CH,Zürich,,5543.0,5543.0
Ascona,46.15,8.7667,Switzerland,CH,Ticino,,5534.0,5534.0
Dagmersellen,47.2131,7.9894,Switzerland,CH,Luzern,,5503.0,5503.0
Rupperswil,47.4025,8.1278,Switzerland,CH,Aargau,,5486.0,5486.0
Thayngen,47.7331,8.6997,Switzerland,CH,Schaffhausen,,5453.0,5453.0
Courtepin,46.8667,7.1167,Switzerland,CH,Fribourg,,5451.0,5451.0
Schattdorf,46.8494,8.6713,Switzerland,CH,Uri,,5418.0,5418.0
Gebenstorf,47.4795,8.2424,Switzerland,CH,Aargau,,5414.0,5414.0
Adligenswil,47.0706,8.365,Switzerland,CH,Luzern,,5391.0,5391.0
Münchwilen,47.4815,8.9924,Switzerland,CH,Thurgau,minor,5377.0,5377.0
Greifensee,47.3661,8.6786,Switzerland,CH,Zürich,,5345.0,5345.0
Obfelden,47.2639,8.4242,Switzerland,CH,Zürich,,5340.0,5340.0
Buochs,46.9746,8.4207,Switzerland,CH,Nidwalden,,5312.0,5312.0
Vechigen,46.9469,7.5625,Switzerland,CH,Bern,,5298.0,5298.0
Seon,47.3458,8.1597,Switzerland,CH,Aargau,,5288.0,5288.0
Préverenges,46.5167,6.5333,Switzerland,CH,Vaud,,5287.0,5287.0
Konolfingen Dorf,46.8833,7.6167,Switzerland,CH,Bern,,5282.0,5282.0
Romont,46.7001,6.9181,Switzerland,CH,Fribourg,,5276.0,5276.0
Feusisberg,47.1869,8.7472,Switzerland,CH,Schwyz,,5262.0,5262.0
Lengnau,47.1817,7.3667,Switzerland,CH,Bern,,5254.0,5254.0
Bellach,47.215,7.5,Switzerland,CH,Solothurn,,5214.0,5214.0
Lausen,47.4725,7.7597,Switzerland,CH,Basel-Landschaft,,5209.0,5209.0
Gerlafingen,47.1722,7.5739,Switzerland,CH,Solothurn,,5202.0,5202.0
