Jahr,ICD-10 Kode,Unnamed: 2,N,DAD,S.A,Min,Max,5,10,25,50,75,90,95
2020.0,C 128,Pneumonia caused by other viruses,12193.0,11.186172394,8.830643511,0.0,108.0,1.0,3.0,5.0,9.0,15.0,22.0,28.0
2020.0,M161,Other primary coxarthrosis,9149.0,9.1883265931,6.7984484817,0.0,76.0,3.0,4.0,5.0,7.0,13.0,20.0,22.0
2020.0,I5001,Secondary right heart failure,9145.0,11.093603062,8.2788367402,0.0,166.0,2.0,3.0,6.0,9.0,14.0,21.0,27.0
2020.0,M171,Other primary gonarthrosis,8619.0,10.02030398,6.754878821,0.0,68.0,3.0,4.0,5.0,7.0,13.0,20.0,22.0
2020.0,M4806,Spinalstenose : Lumbalbereich,5685.0,9.9554969217,16.106086007,0.0,1064.0,3.0,3.0,4.0,7.0,13.0,20.0,26.0
2020.0,I214,Acute subendocardial myocardial infarction,5654.0,6.9251857092,7.7021475493,0.0,99.0,0.0,1.0,2.0,4.0,9.0,18.0,21.0
2020.0,bruise,Other and unspecified disorders of gait and mobility,5467.0,14.715931955,9.6178522181,0.0,182.0,3.0,5.0,8.0,13.0,19.0,27.0,33.0
2020.0,s0,"Urinary tract infection, location unspecified",5031.0,7.2546213476,5.7090286357,0.0,125.0,1.0,3.0,4.0,6.0,9.0,14.0,17.0
2020.0,C61,Malignant neoplasm of the prostate,4417.0,6.9651347068,7.0363418479,0.0,77.0,1.0,2.0,3.0,5.0,8.0,15.0,21.0
2020.0,N40,Prostatahyperplasie,4416.0,4.245923913,3.0886826855,0.0,46.0,2.0,2.0,3.0,3.0,5.0,7.0,9.0
2020.0,I634,Cerebral infarction due to embolism of intracranial arteries,4242.0,12.54950495,15.431604802,0.0,274.0,1.0,2.0,4.0,8.0,15.0,27.0,41.0
2020.0,J181,"Lobar pneumonia, unspecified",4042.0,9.3283028204,6.9156787634,0.0,66.0,2.0,3.0,5.0,8.0,12.0,18.0,23.0
2020.0,I5014,Left ventricular failure: With symptoms at rest,3924.0,9.5693170234,7.3850464094,0.0,91.0,1.0,2.0,5.0,8.0,13.0,19.0,24.0
2020.0,S7210,Pertrochanteric fracture : closed,3876.0,13.710268318,10.140046845,0.0,157.0,3.0,4.0,7.0,11.0,19.0,27.0,34.0
2020.0,I350,Aortic valve stenosis,3384.0,9.3729314421,8.0352342721,0.0,62.0,1.0,1.0,4.0,7.0,13.0,20.0,26.0
2020.0,S060,concussion,3350.0,3.2474626866,5.4481966421,0.0,171.0,1.0,1.0,1.0,2.0,3.0,8.0,13.0
2020.0,s01,Femoral neck fracture : open,3345.0,12.278624813,8.3992466923,0.0,62.0,3.0,4.0,7.0,10.0,17.0,23.0,28.0
2020.0,feed,Cerebral infarction due to unspecified occlusion or stenosis of intracranial arteries,3300.0,14.104848485,17.702979701,0.0,153.0,1.0,2.0,4.0,8.0,17.0,34.0,51.5
2020.0,kh13,Atherosclerotic heart disease: three-vessel disease,3018.0,7.4618952949,9.3505748967,0.0,116.0,1.0,1.0,1.0,2.0,12.0,20.0,26.0
2020.0,m 179,"Gonarthrosis, unspecified",2985.0,9.0864321608,6.4501517248,0.0,102.0,3.0,4.0,5.0,7.0,12.0,19.0,20.0
2020.0,S7211,Pertrochanteric fracture : open,2864.0,15.078561453,11.431023282,0.0,81.0,3.0,4.0,7.0,11.0,20.0,31.0,38.0
2020.0,A419,"Sepsis, unspecified",2672.0,9.9030688623,8.7261231124,0.0,78.0,1.0,1.0,5.0,8.0,13.0,20.0,26.0
2020.0,M 169,"Coxarthrosis, unspecified",2545.0,9.3626719057,8.6370803157,0.0,256.0,3.0,4.0,5.0,7.0,13.0,20.0,22.0
2020.0,I480,atrial flutter,2451.0,4.3149734802,5.1892683796,0.0,57.0,1.0,1.0,1.0,2.0,5.0,10.0,14.0
2020.0,F051,delirium in dementia,2377.0,21.302902819,22.727542936,0.0,199.0,1.0,2.0,6.0,14.0,29.0,50.0,69.0
2020.0,M511,Lumbar and other disc damage with radiculopathy,2302.0,8.8275412685,7.5837647069,0.0,121.0,2.0,3.0,4.0,6.0,11.0,19.0,23.0
2020.0,pronounce,Pulmonary embolism without indication of acute cor pulmonale,2182.0,7.7213565536,6.9524679789,0.0,79.0,1.0,2.0,3.0,6.0,10.0,17.0,20.0
2020.0,slack,syncope and collapse,2085.0,4.3573141487,4.7408261223,0.0,46.0,1.0,1.0,1.0,3.0,5.0,9.0,14.0
2020.0,I5013,Left ventricular failure: With symptoms at lighter loads,2068.0,8.9932301741,7.1090035795,0.0,67.0,1.0,2.0,4.0,7.0,12.0,18.0,22.0
2020.0,C341,Malignant neoplasm of the lungs or bronchus in the upper lobe,2006.0,10.977567298,9.9189732427,0.0,100.0,1.0,2.0,4.0,8.0,15.0,23.0,30.0
2020.0,F058,Other forms of delirium,1971.0,14.216641299,13.819806543,0.0,231.0,1.0,2.0,5.0,11.0,19.0,30.0,41.0
2020.0,marrow,Fracture of the os pubis,1969.0,12.302691722,9.7524646597,0.0,87.0,2.0,3.0,5.0,9.0,18.0,26.0,32.0
2020.0,I638,Other cerebral infarction,1901.0,14.684376644,20.287390769,0.0,373.0,1.0,2.0,4.0,8.0,19.0,34.0,48.0
2020.0,N10,Akute tubulointerstitielle Nephritis,1768.0,8.310520362,6.5428163764,0.0,62.0,2.0,3.0,4.0,7.0,10.0,16.0,21.0
