ICD-10,Bezeichnung,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+,Total
201,Osteoarthritis,0.0,0.0,7.0,23.0,64.0,106.0,177.0,330.0,661.0,1495.0,3272.0,5428.0,7329.0,7760.0,9988.0,9922.0,6383.0,2847.0,655.0,84.0,56531.0
295,live births by place of birth,54357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54357.0
242,Other complications during pregnancy and childbirth,0.0,0.0,0.0,277.0,3469.0,12846.0,20097.0,11210.0,2233.0,124.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50264.0
274,Fractures of other parts of the extremities,465.0,1667.0,2032.0,1665.0,1518.0,1721.0,1853.0,1875.0,1925.0,2373.0,3150.0,3620.0,3220.0,2985.0,2967.0,2778.0,2427.0,2066.0,1056.0,306.0,41669.0
169,Pneumonia,702.0,209.0,93.0,104.0,154.0,245.0,383.0,559.0,790.0,1242.0,1976.0,2680.0,3247.0,3405.0,4478.0,5057.0,5125.0,4551.0,2367.0,612.0,37979.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,1902.0,294.0,497.0,831.0,700.0,734.0,789.0,840.0,935.0,1119.0,1554.0,1784.0,1939.0,2108.0,3115.0,4136.0,4763.0,5025.0,2717.0,780.0,36562.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",208.0,158.0,195.0,449.0,613.0,744.0,795.0,966.0,1202.0,1423.0,2151.0,2683.0,3201.0,3201.0,3695.0,3767.0,2846.0,1976.0,774.0,151.0,31198.0
116,mood disorders,0.0,6.0,592.0,2141.0,1660.0,1806.0,1860.0,2100.0,2415.0,2814.0,3510.0,3250.0,2279.0,1558.0,1340.0,1141.0,787.0,417.0,119.0,17.0,29812.0
206,Other diseases of the spine and back,24.0,31.0,125.0,158.0,114.0,224.0,378.0,509.0,726.0,1072.0,1712.0,2177.0,2180.0,2380.0,3667.0,4278.0,3633.0,2070.0,685.0,108.0,26251.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,1.0,0.0,1.0,104.0,1298.0,5736.0,10105.0,6841.0,1690.0,134.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25918.0
281,Other injuries to specified and unspecified and multiple body regions,1211.0,564.0,581.0,783.0,752.0,882.0,907.0,933.0,1070.0,1372.0,1899.0,1975.0,1697.0,1216.0,1261.0,1336.0,1456.0,1658.0,1103.0,387.0,23043.0
207,Diseases of the quail tissue,38.0,49.0,107.0,257.0,386.0,435.0,586.0,838.0,1261.0,1944.0,2893.0,3343.0,2918.0,2184.0,1910.0,1505.0,981.0,662.0,307.0,70.0,22674.0
278,intracranial injury,2060.0,1394.0,1268.0,1149.0,790.0,667.0,560.0,564.0,535.0,617.0,763.0,873.0,900.0,928.0,1144.0,1455.0,1605.0,1623.0,893.0,268.0,20056.0
151,heart failure,19.0,5.0,10.0,9.0,14.0,17.0,30.0,25.0,70.0,128.0,278.0,457.0,696.0,1111.0,1954.0,2847.0,3925.0,4659.0,2938.0,815.0,20007.0
273,Fracture of the Femur,126.0,103.0,113.0,127.0,83.0,82.0,86.0,83.0,104.0,165.0,328.0,476.0,735.0,976.0,1683.0,2542.0,3604.0,4343.0,3068.0,1050.0,19877.0
