
	D1_05_M HD Pneumonie, Alter 65-84, Mortalität // DP pneumonie, âge 65-84, mortalité // DP polmonite, età 65-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	631	7621	8.279753	
	2009	665	8140	8.169533	
	2010	625	8316	7.515633	
	2011	680	8874	7.662835	
	2012	622	9049	6.873688	
	2013	637	9306	6.845046	
	2014	596	9323	6.392792	
	2015	658	11027	5.967171	
	2016	594	10571	5.619147	
	2017	638	11549	5.524288	
	2018	628	12192	5.150919	
	2019	622	11955	5.202844	
