
	D1_04_M HD Pneumonie, Alter 45-64, Mortalität // DP pneumonie, âge 45-64, mortalité // DP polmonite, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	149	3122	4.772582	
	2009	131	3449	3.798202	
	2010	104	3364	3.091558	
	2011	124	3397	3.65028	
	2012	132	3253	4.057793	
	2013	123	3315	3.710407	
	2014	85	3358	2.531269	
	2015	108	3768	2.866242	
	2016	80	3809	2.100289	
	2017	98	3862	2.537545	
	2018	100	4290	2.331002	
	2019	74	3949	1.873892	
