
	D1_01_M HD Pneumonie, Mortalität // DP pneumonie, mortalité // DP polmonite, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	1259	17198	7.320619	
	2009	1291	18672	6.914096	
	2010	1241	19289	6.433719	
	2011	1347	19835	6.791026	
	2012	1273	19769	6.439375	
	2013	1285	20340	6.317601	
	2014	1222	20612	5.928585	
	2015	1430	24003	5.957589	
	2016	1318	23283	5.660783	
	2017	1413	24393	5.792645	
	2018	1384	26367	5.248985	
	2019	1412	25948	5.441653	
